bin,n,p_mean,p_lo,p_hi,y_rate,model,method
8,396,0.001131334574893117,0.0008658801671117544,0.0014546518214046955,0.0,VIPEEGNet,platt
9,396,0.0019704019650816917,0.0014559769770130515,0.0025997143238782883,0.0,VIPEEGNet,platt
10,396,0.0037115043960511684,0.002607270609587431,0.005262491758912802,0.010101010101010102,VIPEEGNet,platt
11,396,0.008323976770043373,0.005290319677442312,0.01261336449533701,0.007575757575757576,VIPEEGNet,platt
12,396,0.023454971611499786,0.012625954113900661,0.03929995745420456,0.017676767676767676,VIPEEGNet,platt
13,396,0.08852307498455048,0.03944491222500801,0.18630445003509521,0.09343434343434344,VIPEEGNet,platt
14,396,0.5122818946838379,0.18882198631763458,0.9955767393112183,0.5126262626262627,VIPEEGNet,platt
0,395,0.0,0.0,0.0,0.0,VIPEEGNet,isotonic
1,396,0.0,0.0,0.0,0.0025252525252525255,VIPEEGNet,isotonic
2,396,0.0,0.0,0.0,0.0,VIPEEGNet,isotonic
3,396,0.0,0.0,0.0,0.0,VIPEEGNet,isotonic
4,396,0.0,0.0,0.0,0.0,VIPEEGNet,isotonic
5,396,0.0,0.0,0.0,0.0025252525252525255,VIPEEGNet,isotonic
6,396,0.0,0.0,0.0,0.0,VIPEEGNet,isotonic
7,396,0.0,0.0,0.0,0.0,VIPEEGNet,isotonic
8,396,0.0,0.0,0.0,0.0,VIPEEGNet,isotonic
9,396,0.0,0.0,0.0,0.0,VIPEEGNet,isotonic
10,396,0.005195946898311377,0.0,0.007407407276332378,0.007575757575757576,VIPEEGNet,isotonic
11,396,0.009186634793877602,0.007407407276332378,0.010989011265337467,0.012626262626262626,VIPEEGNet,isotonic
12,396,0.018174268305301666,0.010989011265337467,0.023148147389292717,0.012626262626262626,VIPEEGNet,isotonic
13,396,0.08564259111881256,0.023148147389292717,0.14814814925193787,0.09595959595959595,VIPEEGNet,isotonic
14,396,0.523853600025177,0.14814814925193787,1.0,0.5075757575757576,VIPEEGNet,isotonic
0,395,7.259306585183367e-06,1.054577936088208e-07,1.4670629752799869e-05,0.0,VIPEEGNet,temperature
1,396,2.5113002266152762e-05,1.4690179341414478e-05,3.719401502166875e-05,0.0,VIPEEGNet,temperature
2,396,5.248766683507711e-05,3.7219724617898464e-05,7.101282244548202e-05,0.0,VIPEEGNet,temperature
3,396,9.442759619560093e-05,7.1017122536432e-05,0.00012134310964029282,0.0,VIPEEGNet,temperature
4,396,0.0001557336945552379,0.00012165066436864436,0.00019627988513093442,0.0,VIPEEGNet,temperature
5,396,0.0002533182851038873,0.00019633838383015245,0.0003161561326123774,0.0,VIPEEGNet,temperature
6,396,0.000394909962778911,0.00031621227390132844,0.00048762423102743924,0.0,VIPEEGNet,temperature
7,396,0.000631036120466888,0.00048790013534016907,0.0008003613911569118,0.0,VIPEEGNet,temperature
8,396,0.0010643205605447292,0.0008010677993297577,0.0013750082580372691,0.0,VIPEEGNet,temperature
9,396,0.0019152829190716147,0.0013759623980149627,0.002538172295317054,0.0,VIPEEGNet,temperature
10,396,0.003605216508731246,0.00253861746750772,0.005184335168451071,0.010101010101010102,VIPEEGNet,temperature
11,396,0.008085265755653381,0.0051911817863583565,0.012382910586893559,0.007575757575757576,VIPEEGNet,temperature
12,396,0.02260226383805275,0.012453446164727211,0.037317950278520584,0.017676767676767676,VIPEEGNet,temperature
13,396,0.08959950506687164,0.03763968124985695,0.19375048577785492,0.08838383838383838,VIPEEGNet,temperature
14,396,0.5177896618843079,0.19388382136821747,0.9958212375640869,0.5176767676767676,VIPEEGNet,temperature
0,395,0.0007162130204960704,7.507181180699263e-06,0.0016718351980671287,0.0,EffNetB0,raw
1,396,0.0030174392741173506,0.001673608785495162,0.004459866788238287,0.0,EffNetB0,raw
2,396,0.00620763935148716,0.004471874330192804,0.008214590139687061,0.0,EffNetB0,raw
3,396,0.010522985830903053,0.008237242698669434,0.013333689421415329,0.0025252525252525255,EffNetB0,raw
4,396,0.016245687380433083,0.013334152288734913,0.0194614976644516,0.0025252525252525255,EffNetB0,raw
5,396,0.023637374863028526,0.01946462132036686,0.02821802720427513,0.0,EffNetB0,raw
6,396,0.034591495990753174,0.02823144756257534,0.0415225513279438,0.012626262626262626,EffNetB0,raw
7,396,0.05048307776451111,0.04165797680616379,0.060283999890089035,0.017676767676767676,EffNetB0,raw
8,396,0.07352907955646515,0.060350287705659866,0.089096799492836,0.012626262626262626,EffNetB0,raw
9,396,0.11023775488138199,0.0891059935092926,0.13417817652225494,0.04040404040404041,EffNetB0,raw
10,396,0.1676214635372162,0.13424049317836761,0.21303196251392365,0.03282828282828283,EffNetB0,raw
11,396,0.2730959355831146,0.2131863534450531,0.3368431031703949,0.0707070707070707,EffNetB0,raw
12,396,0.42103931307792664,0.3368609547615051,0.5178073644638062,0.09090909090909091,EffNetB0,raw
13,396,0.6486783027648926,0.5178740620613098,0.7811586260795593,0.1691919191919192,EffNetB0,raw
14,396,0.8848937153816223,0.782741129398346,0.9946420788764954,0.42676767676767674,EffNetB0,raw
0,395,0.0004053727607242763,1.0937789738818537e-05,0.0008088990580290556,0.0,EffNetB0,platt
1,396,0.0012954981066286564,0.000822630652692169,0.001728600705973804,0.0,EffNetB0,platt
2,396,0.002226718235760927,0.00173340761102736,0.0027673898730427027,0.0,EffNetB0,platt
3,396,0.0033468869514763355,0.0027705207467079163,0.003945570904761553,0.005050505050505051,EffNetB0,platt
4,396,0.0046460675075650215,0.003948227036744356,0.0053536249324679375,0.0,EffNetB0,platt
5,396,0.006208499427884817,0.005356455687433481,0.007095714099705219,0.0025252525252525255,EffNetB0,platt
6,396,0.008171754889190197,0.007101837545633316,0.009304877370595932,0.012626262626262626,EffNetB0,platt
7,396,0.01127937063574791,0.009305068291723728,0.013361671008169651,0.007575757575757576,EffNetB0,platt
8,396,0.016150789335370064,0.013393476605415344,0.019205519929528236,0.045454545454545456,EffNetB0,platt
9,396,0.02354109100997448,0.019224459305405617,0.028930895030498505,0.022727272727272728,EffNetB0,platt
10,396,0.036666639149188995,0.02896011620759964,0.04671862721443176,0.047979797979797977,EffNetB0,platt
11,396,0.061862606555223465,0.046881210058927536,0.08086889237165451,0.10858585858585859,EffNetB0,platt
12,396,0.10667504370212555,0.08129588514566422,0.14127683639526367,0.06565656565656566,EffNetB0,platt
13,396,0.20261414349079132,0.14136293530464172,0.28197091817855835,0.19696969696969696,EffNetB0,platt
14,396,0.46061691641807556,0.2821265459060669,0.9265417456626892,0.36363636363636365,EffNetB0,platt
0,395,0.0,0.0,0.0,0.0,EffNetB0,isotonic
1,396,0.0,0.0,0.0,0.0025252525252525255,EffNetB0,isotonic
2,396,0.0,0.0,0.0,0.0,EffNetB0,isotonic
3,396,0.00046203722013160586,0.0,0.0011520737316459417,0.0025252525252525255,EffNetB0,isotonic
4,396,0.0014199792640283704,0.0011520737316459417,0.0018621974159032106,0.005050505050505051,EffNetB0,isotonic
5,396,0.0021097741555422544,0.0018621974159032106,0.0022522523067891598,0.0,EffNetB0,isotonic
6,396,0.00807925034314394,0.0022522523067891598,0.01600000075995922,0.020202020202020204,EffNetB0,isotonic
7,396,0.016461392864584923,0.01600000075995922,0.01702786423265934,0.012626262626262626,EffNetB0,isotonic
8,396,0.020722996443510056,0.01702786423265934,0.022179361432790756,0.020202020202020204,EffNetB0,isotonic
9,396,0.02732769586145878,0.022179361432790756,0.03524229675531387,0.04040404040404041,EffNetB0,isotonic
10,396,0.03768060356378555,0.03524229675531387,0.04260089620947838,0.025252525252525252,EffNetB0,isotonic
11,396,0.062472980469465256,0.04260089620947838,0.09615384787321091,0.14393939393939395,EffNetB0,isotonic
12,396,0.12344377487897873,0.09615384787321091,0.16836734116077423,0.10353535353535354,EffNetB0,isotonic
13,396,0.20423372089862823,0.16836734116077423,0.2777777910232544,0.12878787878787878,EffNetB0,isotonic
14,396,0.46589571237564087,0.2777777910232544,1.0,0.37373737373737376,EffNetB0,isotonic
0,395,0.018432321026921272,0.00042523365118540823,0.028165331110358238,0.0,EffNetB0,temperature
1,396,0.03609565645456314,0.028232254087924957,0.04317890852689743,0.0,EffNetB0,temperature
2,396,0.04965217784047127,0.04333750158548355,0.05622760206460953,0.0025252525252525255,EffNetB0,temperature
3,396,0.06308015435934067,0.05622777342796326,0.06961386650800705,0.0,EffNetB0,temperature
4,396,0.07610245794057846,0.06963524967432022,0.08294179290533066,0.0025252525252525255,EffNetB0,temperature
5,396,0.09092390537261963,0.08294427394866943,0.09865123778581619,0.005050505050505051,EffNetB0,temperature
6,396,0.10664889961481094,0.09872006624937057,0.1154293417930603,0.007575757575757576,EffNetB0,temperature
7,396,0.12430286407470703,0.11547145247459412,0.13350963592529297,0.015151515151515152,EffNetB0,temperature
8,396,0.1443178951740265,0.13356144726276398,0.15714463591575623,0.022727272727272728,EffNetB0,temperature
9,396,0.1709548830986023,0.15719477832317352,0.18719007074832916,0.017676767676767676,EffNetB0,temperature
10,396,0.20624132454395294,0.1872480809688568,0.22968053817749023,0.045454545454545456,EffNetB0,temperature
11,396,0.2627774178981781,0.22982434928417206,0.29502004384994507,0.07575757575757576,EffNetB0,temperature
12,396,0.33717477321624756,0.29509925842285156,0.38679832220077515,0.13131313131313133,EffNetB0,temperature
13,396,0.45088785886764526,0.38690629601478577,0.5246224999427795,0.21212121212121213,EffNetB0,temperature
14,396,0.6543434858322144,0.5260206460952759,0.9566322565078735,0.3409090909090909,EffNetB0,temperature
